,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Millwall,46,29,8,9,89,47,95,30
1,2,Swindon Town,46,25,11,10,77,44,86,30
2,3,Huddersfield Town,46,24,13,9,76,44,85,30
3,4,Millwall,46,23,15,8,71,48,84,30
4,5,Swindon Town,46,22,16,8,73,57,82,30
5,6,Charlton Athletic,46,23,11,12,82,56,80,30
6,7,Norwich City,46,23,14,9,85,47,73,30
7,8,Leeds United,46,20,12,14,64,52,72,30
8,9,Millwall,46,14,20,12,55,52,62,30
9,10,Charlton Athletic,46,16,14,16,60,63,62,30
10,11,Swindon Town,46,19,5,22,59,70,62,30
11,12,Huddersfield Town,46,17,9,20,60,68,60,30
12,13,Southampton,46,15,14,17,56,60,59,30
13,14,Colchester,46,15,13,18,63,66,58,30
14,15,Brentford,46,13,14,19,55,59,53,30
15,16,Walsall,46,13,13,20,39,57,52,30
16,17,Bristol Rovers,46,13,12,21,53,63,51,30
17,18,MK Dons,46,11,18,17,48,60,51,30
18,19,Brighton & Hove Albion,46,14,9,23,45,72,51,30
19,20,Carlisle United,46,14,11,21,59,67,50,30
20,21,Yeovil Town,46,12,14,20,48,64,50,30
21,22,Oldham Athletic,46,10,15,21,56,76,45,30
22,23,Leyton Orient,46,10,13,23,51,72,43,30
23,24,Exeter City,46,5,10,31,35,95,25,30
24,25,Tranmere Rovers,,,,,,,,30
25,26,Hartlepool United,,,,,,,,30
26,27,Gillingham,,,,,,,,30
27,28,Wycombe Wanderers,,,,,,,,30
28,29,Southend United,,,,,,,,30
29,30,Stockport County,,,,,,,,30
