,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,SC Cambuur,30,19,4,7,59,33,61,16
1,2,FC Volendam,30,19,3,8,70,43,60,16
2,3,Sparta Rotterdam,30,16,7,7,59,36,55,16
3,4,Helmond Sport,30,15,10,5,55,45,55,16
4,5,MVV,30,14,8,8,56,44,50,16
5,6,Go Ahead Eagles,30,13,9,8,60,46,48,16
6,7,Fortuna Sittard,30,13,7,10,40,33,46,16
7,8,De Graafschap,30,12,9,9,57,41,45,16
8,9,FC Dordrecht,30,11,7,12,56,56,40,16
9,10,FC Oss,30,10,7,13,40,57,37,16
10,11,Den Bosch,30,10,5,15,38,49,35,16
11,12,FC Emmen,30,8,8,14,38,52,32,16
12,13,Almere City FC,30,10,1,19,41,67,31,16
13,14,Telstar,30,7,8,15,31,47,29,16
14,15,Excelsior,30,4,9,17,39,63,21,16
15,16,FC Eindhoven,30,5,6,19,40,67,21,16
