,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,De Graafschap,36,25,6,5,85,34,81,19
1,2,SC Cambuur,36,21,8,7,78,48,71,19
2,3,Excelsior,36,20,6,10,76,47,66,19
3,4,Zwolle,36,19,8,9,59,37,65,19
4,5,Go Ahead Eagles,36,18,9,9,53,33,63,19
5,6,AGOVV Apeldoorn,36,16,9,11,63,52,57,19
6,7,Den Bosch,36,14,12,10,66,54,54,19
7,8,Helmond Sport,36,16,6,14,63,53,54,19
8,9,Veendam,36,13,12,11,55,47,51,19
9,10,Roosendaal,36,13,9,14,48,53,48,19
10,11,MVV,36,13,8,15,59,68,47,19
11,12,FC Eindhoven,36,13,7,16,63,81,46,19
12,13,FC Dordrecht,36,14,3,19,55,58,45,19
13,14,Almere City FC,36,11,6,19,39,66,39,19
14,15,FC Emmen,36,10,8,18,51,79,38,19
15,16,FC Volendam,36,8,11,17,61,81,35,19
16,17,Fortuna Sittard,36,7,10,19,32,57,31,19
17,18,FC Oss,36,6,11,19,42,79,29,19
18,19,Telstar,36,7,7,22,45,66,28,19
