,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Volendam ,38,22,11,5,90,46,77,20
1,2,RKC Waalwijk ,38,22,11,5,84,44,77,20
2,3,Den Bosch ,38,21,7,10,61,37,70,20
3,4,Zwolle ,38,18,13,7,70,42,67,20
4,5,MVV ,38,16,12,10,66,50,60,20
5,6,ADO Den Haag ,38,16,10,12,58,50,58,20
6,7,Helmond Sport ,38,17,7,14,53,52,58,20
7,8,TOP Oss,38,15,10,13,58,61,55,20
8,9,FC Emmen ,38,14,11,13,61,74,53,20
9,10,Go Ahead Eagles ,38,16,3,19,60,64,51,20
10,11,Roosendaal ,38,13,10,15,46,49,49,20
11,12,FC Dordrecht ,38,12,11,15,59,52,47,20
12,13,Almere City FC ,38,11,14,13,56,55,47,20
13,14,Veendam ,38,11,14,13,57,67,47,20
14,15,Telstar ,38,14,4,20,41,51,46,20
15,16,AGOVV Apeldoorn ,38,12,5,21,66,98,41,20
16,17,Fortuna Sittard ,38,10,10,18,48,69,40,20
17,18,SC Cambuur ,38,10,9,19,50,68,39,20
18,19,FC Eindhoven ,38,8,8,22,49,83,32,20
19,20,Haarlem ,38,5,14,19,39,60,29,20
