,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,RKC Waalwijk,34,22,7,5,85,40,73,18
1,2,Zwolle,34,20,10,4,69,27,69,18
2,3,Helmond Sport,34,17,8,9,61,43,59,18
3,4,Veendam,34,15,12,7,54,44,53,18
4,5,SC Cambuur,34,15,9,10,64,52,51,18
5,6,FC Volendam,34,14,9,11,56,50,51,18
6,7,Go Ahead Eagles,34,13,11,10,58,43,50,18
7,8,Den Bosch,34,11,14,9,56,47,47,18
8,9,Sparta Rotterdam,34,12,7,15,71,65,43,18
9,10,MVV,34,14,8,12,44,50,42,18
10,11,FC Dordrecht,34,12,9,13,52,56,41,18
11,12,FC Eindhoven,34,10,10,14,41,49,40,18
12,13,FC Emmen,34,8,11,15,48,64,35,18
13,14,Telstar,34,8,10,16,43,54,34,18
14,15,AGOVV Apeldoorn,34,11,7,16,54,77,31,18
15,16,Fortuna Sittard,34,7,7,20,42,70,26,18
16,17,Roosendaal,34,7,8,19,38,66,26,18
17,18,Almere City FC,34,8,7,19,45,84,25,18
