,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Wolfsberger AC,36,19,11,6,71,49,68,10
1,2,SCR Altach,36,18,8,10,62,39,62,10
2,3,LASK Linz,36,16,13,7,55,40,61,10
3,4,Austria Lustenau,38,16,10,12,61,54,58,10
4,5,SKN St. Pölten,36,14,9,13,45,45,51,10
5,6,FC Blau-Weiss Linz,36,13,10,13,49,52,49,10
6,7,SV Grödig,36,11,8,17,45,52,41,10
7,8,First Vienna,36,10,9,17,44,55,39,10
8,9,FC Lustenau,34,9,10,15,49,59,37,10
9,10,TSV Hartberg,36,7,6,23,38,74,27,10
