,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Torino,42,20,15,7,66,47,75,30
1,2,Brescia,42,20,14,8,55,29,74,30
2,3,Torino,42,21,9,12,60,44,72,30
3,4,Sassuolo,42,18,15,9,60,42,69,30
4,5,Cittadella,42,19,11,12,53,36,68,30
5,6,Brescia,42,18,12,12,62,43,66,30
6,7,Padova,42,14,19,9,66,63,61,30
7,8,Triestina,42,17,11,14,53,50,60,30
8,9,Lecce,42,15,12,15,57,57,57,30
9,10,AC Cesena,42,15,11,16,66,56,56,30
10,11,Brescia,42,14,13,15,59,56,55,30
11,12,Sassuolo,42,15,9,18,51,56,54,30
12,13,Torino,42,14,12,16,39,47,54,30
13,14,Cittadella,42,12,17,13,40,41,53,30
14,15,Grosseto,42,13,14,15,40,45,53,30
15,16,Crotone,42,15,8,19,50,67,53,30
16,17,Ascoli,42,15,9,18,55,56,52,30
17,18,Empoli,42,12,15,15,44,48,51,30
18,19,AlbinoLeffe,42,13,12,17,41,51,51,30
19,20,Reggina,42,10,18,14,46,58,48,30
20,21,Modena,42,10,10,22,43,74,40,30
21,22,Vicenza Calcio,42,5,8,29,40,80,23,30
22,23,Piacenza,,,,,,,,30
23,24,Frosinone,,,,,,,,30
24,25,AC Ancona,,,,,,,,30
25,26,Padova,,,,,,,,30
26,27,Triestina,,,,,,,,30
27,28,Mantova,,,,,,,,30
28,29,Gallipoli,,,,,,,,30
29,30,Salernitana,,,,,,,,30
