,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,AC Siena,27,14,11,2,35,17,53,20
1,2,Sampdoria,27,12,10,5,39,24,46,20
2,3,Ancona,27,13,6,8,37,28,45,20
3,4,Lecce,27,11,12,4,33,24,45,20
4,5,Vicenza Calcio,27,11,10,6,39,31,43,20
5,6,Palermo,27,10,11,6,32,28,41,20
6,7,Triestina,27,11,6,10,38,35,39,20
7,8,Ternana,27,9,10,8,35,30,37,20
8,9,AS Bari,27,8,12,7,29,30,36,20
9,10,Cagliari,27,9,8,10,36,38,35,20
10,11,Ascoli,27,10,5,12,38,41,35,20
11,12,Venezia,27,9,8,10,30,35,35,20
12,13,Napoli,27,8,10,9,27,32,34,20
13,14,Hellas Verona,27,7,12,8,29,30,33,20
14,15,F.C. Messina Peloro,27,6,14,7,37,40,32,20
15,16,Livorno,27,6,13,8,36,33,31,20
16,17,Catania,27,9,4,14,33,39,31,20
17,18,Cosenza Calcio,27,7,4,16,21,40,25,20
18,19,Genoa,27,5,9,13,36,42,24,20
19,20,Salernitana,27,2,11,14,20,43,17,20
