,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Torino,38,22,7,9,48,33,73,20
1,2,Piacenza,38,20,10,8,48,26,70,20
2,3,Chievo,38,19,13,6,54,34,70,20
3,4,Venezia,38,19,12,7,62,43,69,20
4,5,Sampdoria,38,16,16,6,60,38,64,20
5,6,Empoli,38,18,10,10,52,43,64,20
6,7,Ternana,38,16,14,8,59,38,62,20
7,8,Cosenza Calcio,38,17,9,12,49,46,60,20
8,9,Crotone,38,15,8,15,47,53,53,20
9,10,Ancona,38,14,9,15,56,58,51,20
10,11,Cagliari,38,12,14,12,53,45,50,20
11,12,Genoa,38,10,17,11,44,39,47,20
12,13,AC Siena,38,10,17,11,38,43,47,20
13,14,Cittadella,38,10,15,13,40,52,45,20
14,15,Salernitana,38,11,10,17,37,42,43,20
15,16,US Pistoiese,38,10,11,17,46,51,41,20
16,17,Treviso,38,8,12,18,40,56,36,20
17,18,Monza,38,9,4,25,41,77,31,20
18,19,Ravenna,38,4,13,21,33,64,25,20
19,20,Pescara,38,3,13,22,30,56,22,20
