,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Köln,34,20,7,7,62,33,67,18
1,2,MSV Duisburg,34,19,5,10,50,37,62,18
2,3,Eintracht Frankfurt,34,19,4,11,65,39,61,18
3,4,TSV 1860 München,34,15,12,7,52,39,57,18
4,5,SpVgg Greuther Fürth,34,17,5,12,51,42,56,18
5,6,Alemannia Aachen,34,16,6,12,60,40,54,18
6,7,Erzgebirge Aue,34,15,6,13,49,40,51,18
7,8,Dynamo Dresden,34,15,4,15,48,53,49,18
8,9,Wacker Burghausen,34,13,9,12,48,55,48,18
9,10,SpVgg Unterhaching,34,14,3,17,40,43,45,18
10,11,Karlsruher SC,34,11,10,13,46,47,43,18
11,12,1. FC Saarbrücken,34,11,7,16,44,50,40,18
12,13,LR Ahlen,34,10,9,15,43,49,39,18
13,14,Energie Cottbus,34,10,9,15,35,48,39,18
14,15,SV Eintracht Trier 05,34,9,12,13,39,53,39,18
15,16,RW Oberhausen,34,8,10,16,40,62,34,18
16,17,Rot-Weiss Essen,34,6,15,13,35,51,33,18
17,18,RW Erfurt,34,7,9,18,34,60,30,18
