,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,SC Freiburg,34,20,7,7,58,32,67,18
1,2,FC Köln,34,18,11,5,63,45,65,18
2,3,Eintracht Frankfurt,34,17,11,6,59,33,62,18
3,4,Mainz,34,19,5,10,64,39,62,18
4,5,SpVgg Greuther Fürth,34,15,12,7,55,35,57,18
5,6,Alemannia Aachen,34,14,9,11,57,48,51,18
6,7,SV Eintracht Trier 05,34,14,6,14,53,46,48,18
7,8,MSV Duisburg,34,12,10,12,42,47,46,18
8,9,1. FC Union Berlin,34,10,15,9,36,48,45,18
9,10,Wacker Burghausen,34,10,14,10,48,41,44,18
10,11,VfB Lübeck,34,13,5,16,51,50,44,18
11,12,LR Ahlen,34,11,7,16,48,60,40,18
12,13,Karlsruher SC,34,9,12,13,35,47,39,18
13,14,RW Oberhausen,34,10,7,17,38,48,37,18
14,15,Eintracht Braunschweig,34,8,10,16,33,53,34,18
15,16,SSV Reutlingen,34,11,6,17,43,53,33,18
16,17,FC St. Pauli,34,7,10,17,48,67,31,18
17,18,SV Waldhof Mannheim 07,34,6,7,21,32,71,25,18
