,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Nürnberg,34,20,5,9,58,35,65,18
1,2,Borussia M´gladbach,34,17,11,6,62,31,62,18
2,3,FC St. Pauli,34,17,9,8,70,52,60,18
3,4,SV Waldhof Mannheim 07,34,17,8,9,57,42,59,18
4,5,SpVgg Greuther Fürth,34,15,9,10,55,38,54,18
5,6,LR Ahlen,34,15,9,10,61,53,54,18
6,7,SSV Reutlingen,34,15,8,11,64,52,53,18
7,8,1. FC Saarbrücken,34,14,8,12,48,59,50,18
8,9,Hannover 96,34,12,10,12,52,45,46,18
9,10,Alemannia Aachen,34,13,7,14,42,60,46,18
10,11,MSV Duisburg,34,12,9,13,46,40,45,18
11,12,RW Oberhausen,34,13,6,15,45,50,45,18
12,13,Arminia Bielefeld,34,10,11,13,53,46,41,18
13,14,Mainz,34,10,10,14,37,45,40,18
14,15,VfL Osnabrück,34,9,10,15,40,52,37,18
15,16,SSV Ulm 1846,34,9,7,18,42,58,34,18
16,17,Stuttgarter Kickers,34,8,10,16,31,51,34,18
17,18,Chemnitzer FC,34,3,7,24,24,78,16,18
