,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Borussia M´gladbach,34,18,12,4,71,38,66,18
1,2,TSG Hoffenheim,34,17,9,8,60,40,60,18
2,3,FC Köln,34,17,9,8,62,44,60,18
3,4,Mainz,34,16,10,8,62,36,58,18
4,5,SC Freiburg ,34,15,10,9,49,44,55,18
5,6,SpVgg Greuther Fürth,34,14,10,10,53,47,52,18
6,7,Alemannia Aachen ,34,14,9,11,49,44,51,18
7,8,TuS Koblenz ,34,12,11,11,46,47,47,18
8,9,SV Wehen ,34,11,11,12,47,53,44,18
9,10,FC St. Pauli ,34,11,9,14,47,53,42,18
10,11,TSV 1860 München ,34,9,14,11,42,45,41,18
11,12,VfL Osnabrück ,34,10,10,14,43,54,40,18
12,13,Kaiserslautern ,34,9,12,13,37,37,39,18
13,14,FC Augsburg ,34,10,8,16,39,51,38,18
14,15,Kickers Offenbach ,34,9,11,14,38,60,38,18
15,16,Erzgebirge Aue,34,7,11,16,49,57,32,18
16,17,SC Paderborn 07 ,34,6,13,15,33,54,31,18
17,18,FC Carl Zeiss Jena,34,6,11,17,45,68,29,18
