,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Hertha BSC,34,23,5,6,69,28,74,18
1,2,FC Augsburg,34,19,8,7,58,27,65,18
2,3,VfL Bochum,34,20,5,9,49,35,65,18
3,4,SpVgg Greuther Fürth,34,17,10,7,47,27,61,18
4,5,Erzgebirge Aue,34,16,8,10,40,37,56,18
5,6,Energie Cottbus,34,16,7,11,65,52,55,18
6,7,Fortuna Düsseldorf,34,16,5,13,49,39,53,18
7,8,MSV Duisburg,34,15,7,12,53,38,52,18
8,9,TSV 1860 München,34,14,10,10,50,36,50,18
9,10,Alemannia Aachen,34,13,9,12,58,60,48,18
10,11,1. FC Union Berlin,34,11,9,14,39,45,42,18
11,12,SC Paderborn 07,34,10,9,15,32,47,39,18
12,13,FSV Frankfurt,34,11,5,18,42,54,38,18
13,14,FC Ingolstadt 04,34,9,10,15,40,46,37,18
14,15,Karlsruher SC,34,8,9,17,46,72,33,18
15,16,VfL Osnabrück,34,8,7,19,40,62,31,18
16,17,RW Oberhausen,34,7,7,20,30,65,28,18
17,18,Arminia Bielefeld,34,4,8,22,28,65,20,18
