,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Juventus,38,29,4,5,75,20,91,20
1,2,Napoli,38,25,7,6,80,32,82,20
2,3,Roma,38,23,11,4,83,41,80,20
3,4,Internazionale,38,20,7,11,50,38,67,20
4,5,Fiorentina,38,18,10,10,60,42,64,20
5,6,Sassuolo,38,16,13,9,49,40,61,20
6,7,Milan,38,15,12,11,49,43,57,20
7,8,Lazio,38,15,9,14,52,52,54,20
8,9,Chievo,38,13,11,14,43,45,50,20
9,10,Empoli,38,12,10,16,40,49,46,20
10,11,Genoa,38,13,7,18,45,48,46,20
11,12,Torino,38,12,9,17,52,55,45,20
12,13,Atalanta,38,11,12,15,41,47,45,20
13,14,Bologna,38,11,9,18,33,45,42,20
14,15,Sampdoria,38,10,10,18,48,61,40,20
15,16,Palermo,38,10,9,19,38,65,39,20
16,17,Udinese,38,10,9,19,35,60,39,20
17,18,Carpi,38,9,11,18,37,57,38,20
18,19,Frosinone,38,8,7,23,35,76,31,20
19,20,Hellas Verona,38,5,13,20,34,63,28,20
