,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Roma ,34,22,9,3,68,33,75,18
1,2,Juventus ,34,21,10,3,61,27,73,18
2,3,Lazio ,34,21,6,7,65,36,69,18
3,4,Parma ,34,15,8,11,49,33,53,18
4,5,Internazionale,34,14,9,11,47,47,51,18
5,6,Milan,34,12,13,9,56,46,49,18
6,7,Fiorentina ,34,12,11,11,56,49,47,18
7,8,Atalanta ,34,10,13,11,37,35,43,18
8,9,Brescia ,34,10,13,11,42,44,43,18
9,10,Bologna ,34,11,10,13,49,53,43,18
10,11,Perugia ,34,10,12,12,49,53,42,18
11,12,Hellas Verona ,34,11,7,16,42,57,40,18
12,13,Udinese ,34,11,5,18,49,59,38,18
13,14,Lecce ,34,8,13,13,40,54,37,18
14,15,Reggina ,34,10,7,17,32,49,37,18
15,16,Vicenza Calcio ,34,9,9,16,37,51,36,18
16,17,Napoli ,34,8,12,14,35,51,36,18
17,18,AS Bari ,34,5,5,24,31,68,20,18
