,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Wacker Innsbruck,33,21,6,6,67,26,69,12
1,2,SCR Altach,33,20,6,7,60,27,66,12
2,3,Admira Wacker,33,19,8,6,67,22,65,12
3,4,SKN St. Pölten,33,14,9,10,44,42,51,12
4,5,Austria Lustenau,33,15,5,13,43,46,50,12
5,6,FC Salzburg B,33,13,5,15,58,49,44,12
6,7,FC Gratkorn,33,11,11,11,57,50,44,12
7,8,FC Lustenau,33,13,4,16,42,51,43,12
8,9,TSV Hartberg,33,11,5,17,36,68,38,12
9,10,Austria Wien B,33,9,8,16,42,57,35,12
10,11,First Vienna,33,8,6,19,37,57,30,12
11,12,FC Dornbirn,33,6,3,24,23,81,21,12
