,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Magna ,33,21,6,6,65,26,69,12
1,2,Wacker Innsbruck,33,18,8,7,65,44,62,12
2,3,Admira Wacker,33,18,6,9,55,36,60,12
3,4,Austria Lustenau ,33,14,6,13,52,47,48,12
4,5,SKN St. Pölten ,33,13,8,12,51,46,47,12
5,6,Austria Wien ,33,13,6,14,44,43,45,12
6,7,FC Salzburg ,33,12,7,14,41,56,43,12
7,8,FC Gratkorn ,33,11,7,15,39,55,40,12
8,9,FC Lustenau ,33,9,11,13,34,37,38,12
9,10,SV Grödig ,33,9,8,16,37,52,35,12
10,11,DSV Leoben,33,8,8,17,30,55,32,12
11,12,Vöcklabrucker SC ,33,7,9,17,40,56,30,12
