,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Parma,34.0,21.0,9.0,4.0,64.0,33.0,72.0,20
1,2,Internazionale,34.0,21.0,8.0,5.0,46.0,20.0,71.0,20
2,3,Lazio ,34.0,16.0,13.0,5.0,65.0,40.0,61.0,20
3,4,Juventus ,34.0,17.0,7.0,10.0,58.0,36.0,58.0,20
4,5,Milan,34.0,16.0,10.0,8.0,52.0,37.0,58.0,20
5,6,Internazionale,34.0,14.0,12.0,8.0,57.0,34.0,54.0,20
6,7,Parma ,34.0,13.0,12.0,9.0,48.0,38.0,51.0,20
7,8,Roma ,34.0,13.0,11.0,10.0,55.0,45.0,50.0,20
8,9,Fiorentina ,34.0,10.0,13.0,11.0,40.0,45.0,43.0,20
9,10,Udinese ,34.0,12.0,6.0,16.0,36.0,52.0,42.0,20
10,11,Hellas Verona ,34.0,9.0,13.0,12.0,32.0,39.0,40.0,20
11,12,Perugia ,34.0,9.0,13.0,12.0,31.0,42.0,40.0,20
12,13,Bologna ,34.0,10.0,10.0,14.0,33.0,49.0,40.0,20
13,14,Reggina ,34.0,10.0,9.0,15.0,34.0,48.0,39.0,20
14,15,Lecce ,34.0,8.0,12.0,14.0,35.0,47.0,36.0,20
15,16,AS Bari ,34.0,6.0,8.0,20.0,30.0,60.0,26.0,20
16,17,Torino ,34.0,3.0,13.0,18.0,29.0,54.0,22.0,20
17,18,Venezia ,34.0,4.0,9.0,21.0,19.0,45.0,21.0,20
18,19,Cagliari ,,,,,,,,20
19,20,Piacenza ,,,,,,,,20
