,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Parma,38.0,26.0,8.0,4.0,67.0,27.0,86.0,22
1,2,Bologna,38.0,23.0,10.0,5.0,63.0,28.0,79.0,22
2,3,Juventus ,38.0,18.0,18.0,2.0,65.0,37.0,72.0,22
3,4,Milan,38.0,17.0,11.0,10.0,56.0,40.0,62.0,22
4,5,Internazionale,38.0,17.0,10.0,11.0,42.0,29.0,61.0,22
5,6,Udinese ,38.0,12.0,17.0,9.0,48.0,44.0,53.0,22
6,7,Sampdoria,38.0,12.0,12.0,14.0,44.0,52.0,48.0,22
7,8,Palermo ,38.0,11.0,12.0,15.0,55.0,58.0,45.0,22
8,9,F.C. Messina Peloro ,38.0,11.0,12.0,15.0,49.0,60.0,45.0,22
9,10,Roma ,38.0,11.0,11.0,16.0,48.0,53.0,44.0,22
10,11,Livorno ,38.0,10.0,14.0,14.0,66.0,73.0,44.0,22
11,12,Lazio ,38.0,10.0,14.0,14.0,51.0,60.0,44.0,22
12,13,Lecce ,38.0,10.0,14.0,14.0,36.0,45.0,44.0,22
13,14,Cagliari ,38.0,9.0,16.0,13.0,44.0,55.0,43.0,22
14,15,Reggina ,38.0,11.0,10.0,17.0,32.0,49.0,43.0,22
15,16,AC Siena,38.0,9.0,15.0,14.0,42.0,50.0,42.0,22
16,17,Chievo ,38.0,9.0,15.0,14.0,33.0,36.0,42.0,22
17,18,Fiorentina ,38.0,10.0,12.0,16.0,48.0,65.0,42.0,22
18,19,Bologna ,38.0,11.0,8.0,19.0,37.0,54.0,41.0,22
19,20,Parma ,38.0,8.0,11.0,19.0,34.0,45.0,35.0,22
20,21,Brescia ,,,,,,,,22
21,22,Atalanta ,,,,,,,,22
