,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Ajax,34,22,7,5,73,34,73,18
1,2,PSV,34,20,8,6,77,32,68,18
2,3,Feyenoord,34,19,7,8,68,29,64,18
3,4,Heerenveen,34,17,9,8,57,27,60,18
4,5,Vitesse,34,16,12,6,45,34,60,18
5,6,NAC Breda,34,15,9,10,55,52,54,18
6,7,FC Utrecht,34,14,9,11,60,51,51,18
7,8,RKC Waalwijk,34,14,6,14,49,44,48,18
8,9,NEC,34,13,6,15,38,59,45,18
9,10,AZ Alkmaar,34,12,7,15,43,45,43,18
10,11,Willem II,34,10,13,11,54,61,43,18
11,12,FC Twente,34,10,12,12,41,41,42,18
12,13,Roda,34,11,8,15,33,45,41,18
13,14,De Graafschap,34,10,7,17,43,55,37,18
14,15,FC Groningen,34,10,7,17,40,59,37,18
15,16,Den Bosch,34,8,9,17,40,55,33,18
16,17,Sparta Rotterdam,34,4,12,18,26,75,24,18
17,18,Fortuna Sittard,34,3,8,23,27,71,17,18
