,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Ajax,34,25,5,4,79,31,80,18
1,2,PSV,34,23,5,6,92,30,74,18
2,3,Feyenoord,34,20,8,6,71,38,68,18
3,4,Heerenveen,34,17,7,10,45,35,58,18
4,5,AZ Alkmaar,34,17,6,11,65,42,57,18
5,6,Roda,34,14,11,9,60,41,53,18
6,7,Willem II,34,13,10,11,47,54,49,18
7,8,FC Twente,34,15,3,16,56,53,48,18
8,9,NAC Breda,34,12,10,12,58,55,46,18
9,10,FC Utrecht,34,13,7,14,42,52,46,18
10,11,RKC Waalwijk,34,10,10,14,47,55,40,18
11,12,Roosendaal,34,10,10,14,34,47,40,18
12,13,FC Groningen,34,9,10,15,38,53,37,18
13,14,NEC,34,10,4,20,44,62,34,18
14,15,ADO Den Haag,34,9,7,18,36,61,34,18
15,16,Vitesse,34,4,16,14,39,56,28,18
16,17,FC Volendam,34,7,6,21,31,79,27,18
17,18,Zwolle,34,5,11,18,27,67,26,18
