,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,PSV,34,27,6,1,89,18,87,18
1,2,Ajax,34,24,5,5,74,33,77,18
2,3,AZ Alkmaar,34,19,7,8,71,41,64,18
3,4,Feyenoord,34,19,5,10,90,51,62,18
4,5,Heerenveen,34,18,6,10,64,52,60,18
5,6,FC Twente,34,15,9,10,48,38,54,18
6,7,Vitesse,34,16,6,12,53,49,54,18
7,8,Roda,34,13,8,13,60,55,47,18
8,9,RKC Waalwijk,34,13,8,13,44,51,47,18
9,10,Willem II,34,13,6,15,44,56,45,18
10,11,FC Utrecht,34,12,8,14,40,43,44,18
11,12,FC Groningen,34,11,7,16,50,58,40,18
12,13,NEC,34,9,10,15,41,47,37,18
13,14,ADO Den Haag,34,10,6,18,44,59,36,18
14,15,NAC Breda,34,9,8,17,43,67,35,18
15,16,Roosendaal,34,10,2,22,38,77,32,18
16,17,De Graafschap,34,4,7,23,32,78,19,18
17,18,Den Bosch,34,5,4,25,23,75,19,18
