,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,PSV ,34,27,3,4,105,24,84,18
1,2,Heerenveen ,34,21,5,8,65,35,68,18
2,3,Feyenoord ,34,18,10,6,66,42,64,18
3,4,Vitesse ,34,18,9,7,67,43,63,18
4,5,Ajax ,34,18,7,9,72,51,61,18
5,6,FC Twente ,34,16,12,6,57,37,60,18
6,7,AZ Alkmaar ,34,17,4,13,69,59,55,18
7,8,Roda ,34,16,7,11,62,53,55,18
8,9,Willem II ,34,13,9,12,54,65,48,18
9,10,FC Utrecht ,34,14,4,16,55,61,46,18
10,11,RKC Waalwijk ,34,12,6,16,44,67,42,18
11,12,Fortuna Sittard ,34,10,8,16,47,54,38,18
12,13,Sparta Rotterdam ,34,11,4,19,48,75,37,18
13,14,De Graafschap ,34,8,9,17,41,60,33,18
14,15,NEC ,34,7,6,21,35,62,27,18
15,16,MVV ,34,6,7,21,38,68,25,18
16,17,SC Cambuur ,34,6,7,21,35,66,25,18
17,18,Den Bosch ,34,4,11,19,36,74,23,18
