,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,PSV ,34,25,8,1,73,23,83,18
1,2,Feyenoord ,34,21,3,10,67,37,66,18
2,3,Ajax ,34,18,7,9,85,43,61,18
3,4,Roda ,34,17,8,9,59,41,59,18
4,5,FC Utrecht ,34,17,8,9,58,43,59,18
5,6,Vitesse ,34,16,11,7,56,43,59,18
6,7,RKC Waalwijk ,34,16,11,7,48,36,59,18
7,8,Willem II ,34,14,9,11,60,50,51,18
8,9,NAC Breda ,34,13,10,11,41,40,49,18
9,10,Heerenveen ,34,11,14,9,51,42,47,18
10,11,FC Twente ,34,10,11,13,47,60,41,18
11,12,NEC ,34,9,13,12,42,53,40,18
12,13,AZ Alkmaar ,34,9,8,17,45,63,35,18
13,14,FC Groningen ,34,8,9,17,36,56,33,18
14,15,De Graafschap ,34,9,4,21,44,66,31,18
15,16,Fortuna Sittard ,34,8,7,19,31,64,31,18
16,17,Sparta Rotterdam ,34,6,7,21,42,72,25,18
17,18,Roosendaal ,34,4,2,28,37,90,14,18
