,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Sheffield United,46,29,11,6,97,45,98,30
1,2,Wolverhampton,46,26,14,6,73,40,92,30
2,3,Nottingham Forest,46,23,11,12,72,52,80,30
3,4,Sheffield United,46,25,4,17,61,46,79,30
4,5,Wolverhampton,46,20,16,10,81,44,76,30
5,6,Reading,46,20,14,12,82,50,74,30
6,7,Portsmouth,46,19,13,14,80,64,70,30
7,8,Leicester City,46,19,12,15,60,49,69,30
8,9,Sheffield United,46,19,9,18,59,69,66,30
9,10,Reading,46,18,11,17,76,73,65,30
10,11,Wolverhampton,46,16,14,16,56,65,62,30
11,12,Nottingham Forest,46,16,13,17,68,70,61,30
12,13,Ipswich Town,46,17,9,20,54,70,60,30
13,14,Norwich City,46,14,17,15,59,52,59,30
14,15,Millwall,46,15,14,17,62,62,59,30
15,16,Wimbledon,46,15,10,21,65,89,55,30
16,17,Gillingham,46,15,9,22,57,69,54,30
17,18,Preston North End,46,15,7,24,55,74,52,30
18,19,Watford,46,14,10,22,51,73,52,30
19,20,Crystal Palace,46,12,14,20,46,62,50,30
20,21,Rotherham,46,12,14,20,45,69,50,30
21,22,Burnley,46,10,16,20,56,73,46,30
22,23,Walsall,46,11,12,23,49,67,45,30
23,24,Derby County,46,9,12,25,48,85,39,30
24,25,Bradford City,,,,,,,,30
25,26,Coventry City,,,,,,,,30
26,27,Stoke City,,,,,,,,30
27,28,Sheffield Wed.,,,,,,,,30
28,29,Brighton & Hove Albion,,,,,,,,30
29,30,Grimsby Town,,,,,,,,30
