,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Crystal Palace,46,28,10,8,79,39,94,30
1,2,West Ham,46,25,11,10,64,42,86,30
2,3,Crystal Palace,46,22,13,11,62,45,79,30
3,4,Sunderland,46,19,17,10,67,45,74,30
4,5,Ipswich Town,46,21,10,15,84,72,73,30
5,6,West Ham,46,21,10,15,72,61,73,30
6,7,Norwich City,46,18,17,11,60,45,71,30
7,8,West Bromwich,46,20,11,15,65,56,71,30
8,9,Sunderland,46,20,10,16,55,57,70,30
9,10,West Ham,46,18,15,13,55,48,69,30
10,11,Ipswich Town,46,18,12,16,58,55,66,30
11,12,Crystal Palace,46,17,14,15,67,54,65,30
12,13,Wigan Athletic,46,17,14,15,68,58,65,30
13,14,Sheffield United,46,15,15,16,61,58,60,30
14,15,Reading,46,15,14,17,69,71,59,30
15,16,Millwall,46,15,12,19,54,68,57,30
16,17,Stoke City,46,13,15,18,53,61,54,30
17,18,Coventry City,46,14,11,21,57,66,53,30
18,19,Cardiff City,46,13,14,19,60,77,53,30
19,20,Nottingham Forest,46,13,13,20,53,67,52,30
20,21,Preston North End,46,14,9,23,48,67,51,30
21,22,Watford,46,13,12,21,45,65,51,30
22,23,Rotherham,46,10,6,30,38,69,36,30
23,24,Crewe Alexandra,46,8,5,33,41,89,29,30
24,25,Burnley,,,,,,,,30
25,26,Derby County,,,,,,,,30
26,27,Gillingham,,,,,,,,30
27,28,Walsall,,,,,,,,30
28,29,Bradford City,,,,,,,,30
29,30,Wimbledon,,,,,,,,30
