,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Huddersfield Town,46,29,7,10,85,40,94,30
1,2,Reading,46,28,9,9,74,40,93,30
2,3,Fulham,46,26,7,13,68,64,85,30
3,4,Reading,46,24,9,13,60,45,81,30
4,5,Huddersfield Town,46,25,6,15,56,58,81,30
5,6,Sheffield Wed.,46,22,14,10,85,57,80,30
6,7,Newcastle,46,22,9,15,61,47,75,30
7,8,Brighton & Hove Albion,46,20,10,16,85,69,70,30
8,9,Reading,46,18,13,15,54,50,67,30
9,10,Sheffield Wed.,46,18,10,18,75,65,64,30
10,11,Huddersfield Town,46,16,14,16,64,63,62,30
11,12,Fulham,46,17,11,18,60,61,62,30
12,13,Leeds United,46,16,14,16,47,48,62,30
13,14,Norwich City,46,15,13,18,64,67,58,30
14,15,Derby County,46,16,10,20,54,58,58,30
15,16,Brentford,46,13,16,17,48,58,55,30
16,17,Preston North End,46,15,9,22,60,66,54,30
17,18,Cardiff City,46,15,8,23,52,66,53,30
18,19,Aston Villa,46,13,14,19,45,64,53,30
19,20,Barnsley,46,13,13,20,49,63,52,30
20,21,Wolverhampton,46,14,9,23,62,72,51,30
21,22,Ipswich Town,46,12,15,19,53,65,51,30
22,23,Bristol City,46,10,12,24,40,57,42,30
23,24,QPR,46,5,8,33,40,98,23,30
24,25,Birmingham City,,,,,,,,30
25,26,Burton Albion,,,,,,,,30
26,27,Nottingham Forest,,,,,,,,30
27,28,Blackburn Rovers,,,,,,,,30
28,29,Wigan Athletic,,,,,,,,30
29,30,Rotherham,,,,,,,,30
