,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Aston Villa,46,30,9,7,82,39,99,30
1,2,Fulham,46,27,9,10,69,39,90,30
2,3,Derby County,46,25,13,8,79,46,88,30
3,4,Fulham,46,24,11,11,72,42,83,30
4,5,Middlesbrough,46,22,10,14,67,45,76,30
5,6,Aston Villa,46,20,15,11,70,48,75,30
6,7,Wolverhampton,46,19,16,11,57,46,73,30
7,8,Cardiff City,46,19,15,12,56,45,72,30
8,9,Fulham,46,18,15,13,62,52,69,30
9,10,Aston Villa,46,20,9,17,62,55,69,30
10,11,Middlesbrough,46,17,16,13,67,58,67,30
11,12,Derby County,46,17,9,20,57,60,60,30
12,13,Preston North End,46,17,9,20,59,64,60,30
13,14,Millwall,46,15,15,16,49,60,60,30
14,15,Brentford,46,14,15,17,59,60,57,30
15,16,Sheffield United,46,15,11,20,58,70,56,30
16,17,Bristol City,46,15,8,23,51,65,53,30
17,18,Ipswich Town,46,11,16,19,70,70,49,30
18,19,Leeds United,46,13,7,26,38,68,46,30
19,20,Norwich City,46,10,14,22,48,70,44,30
20,21,Sheffield Wed.,46,10,13,23,39,74,43,30
21,22,QPR,46,9,14,23,48,72,41,30
22,23,Nottingham Forest,46,10,11,25,38,81,41,30
23,24,Hull City,46,7,16,23,52,80,37,30
24,25,Birmingham City,,,,,,,,30
25,26,Reading,,,,,,,,30
26,27,Bolton Wanderers,,,,,,,,30
27,28,Barnsley,,,,,,,,30
28,29,Burton Albion,,,,,,,,30
29,30,Sunderland,,,,,,,,30
