,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Derby County,46,27,7,12,76,47,88,30
1,2,West Bromwich,46,26,8,12,67,42,86,30
2,3,Southampton,46,25,9,12,62,46,84,30
3,4,Derby County,46,22,10,14,81,55,76,30
4,5,Wolverhampton,46,22,10,14,59,56,76,30
5,6,West Bromwich,46,21,12,13,77,53,75,30
6,7,Sunderland ,46,22,8,16,64,53,74,30
7,8,Birmingham City,46,19,16,11,62,41,73,30
8,9,Derby County ,46,20,11,15,70,66,71,30
9,10,West Bromwich ,46,20,9,17,70,56,69,30
10,11,Wolverhampton,46,17,16,13,63,62,67,30
11,12,Southampton ,46,18,11,17,59,51,65,30
12,13,Preston North End ,46,17,13,16,57,53,64,30
13,14,Stoke City ,46,18,8,20,64,59,62,30
14,15,Sheffield Wed.,46,15,12,19,52,49,57,30
15,16,Colchester ,46,16,9,21,56,71,57,30
16,17,Plymouth Argyle ,46,16,8,22,47,62,56,30
17,18,Crystal Palace ,46,14,11,21,54,68,53,30
18,19,Cardiff City,46,13,14,19,49,64,53,30
19,20,Ipswich Town ,46,15,5,26,53,85,50,30
20,21,Burnley ,46,13,10,23,51,67,49,30
21,22,Norwich City ,46,10,12,24,47,80,42,30
22,23,Coventry City ,46,10,10,26,53,81,40,30
23,24,QPR ,46,13,7,26,46,72,36,30
24,25,Leicester City,,,,,,,,30
25,26,Barnsley ,,,,,,,,30
26,27,Hull City ,,,,,,,,30
27,28,Southend United,,,,,,,,30
28,29,Luton Town,,,,,,,,30
29,30,Leeds United ,,,,,,,,30
