,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Corinthians ,38,25,10,3,79,29,85,20
1,2,Santo André ,38,19,11,8,71,45,68,20
2,3,Avaí ,38,18,13,7,71,40,67,20
3,4,Grêmio Barueri ,38,20,3,15,58,55,63,20
4,5,Ponte Preta ,38,17,7,14,54,46,58,20
5,6,Vila Nova ,38,17,7,14,57,55,58,20
6,7,Bragantino,38,16,9,13,47,41,57,20
7,8,Juventude ,38,16,8,14,51,48,56,20
8,9,São Caetano ,38,14,12,12,61,55,54,20
9,10,Bahia ,38,14,10,14,47,65,52,20
10,11,Paraná ,38,14,7,17,49,54,49,20
11,12,Ceará ,38,12,13,13,52,50,49,20
12,13,ABC ,38,12,12,14,55,57,48,20
13,14,Brasiliense ,38,13,8,17,56,64,47,20
14,15,América-RN ,38,12,10,16,46,51,46,20
15,16,Fortaleza ,38,12,9,17,56,56,45,20
16,17,Marília ,38,11,12,15,47,60,45,20
17,18,Criciúma ,38,11,8,19,40,54,41,20
18,19,Gama ,38,9,8,21,37,72,35,20
19,20,CRB ,38,5,9,24,35,72,24,20
