,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Coritiba,38,21,8,9,69,49,71,20
1,2,Figueirense,38,19,10,9,68,37,67,20
2,3,Bahia,38,19,8,11,63,44,65,20
3,4,América Mineiro,38,19,6,13,56,42,63,20
4,5,Portuguesa,38,19,5,14,68,53,62,20
5,6,Sport,38,15,11,12,55,41,56,20
6,7,Paraná,38,15,8,15,47,44,53,20
7,8,Bragantino,38,13,14,11,52,37,53,20
8,9,ASA,38,16,4,18,53,56,52,20
9,10,São Caetano,38,14,10,14,50,52,52,20
10,11,Duque de Caxias,38,15,5,18,46,56,50,20
11,12,Icasa,38,13,10,15,51,52,49,20
12,13,Náutico,38,14,6,18,41,60,48,20
13,14,Ponte Preta,38,12,12,14,49,48,48,20
14,15,Americana,38,11,14,13,48,58,47,20
15,16,Vila Nova,38,13,7,18,50,68,46,20
16,17,Brasiliense,38,12,10,16,41,59,46,20
17,18,Santo André,38,11,10,17,53,61,43,20
18,19,Ipatinga,38,11,8,19,47,62,41,20
19,20,América-RN,38,11,8,19,40,68,41,20
