,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Goiás,38,23,9,6,75,37,78,20
1,2,Criciúma,38,22,7,9,78,57,73,20
2,3,Atlético Paranaense,38,21,8,9,65,37,71,20
3,4,Vitória,38,21,8,9,59,43,71,20
4,5,São Caetano,38,20,11,7,58,38,71,20
5,6,Joinville,38,17,9,12,58,40,60,20
6,7,Avaí,38,18,5,15,44,42,59,20
7,8,América Mineiro,38,16,7,15,63,58,55,20
8,9,América-RN,38,14,12,12,60,61,54,20
9,10,Paraná,38,14,10,14,50,47,52,20
10,11,Ceará,38,12,11,15,51,52,47,20
11,12,ABC,38,11,12,15,50,52,45,20
12,13,ASA,38,13,5,20,48,56,44,20
13,14,Bragantino,38,12,8,18,45,53,44,20
14,15,Boa Esporte,38,11,11,16,51,63,44,20
15,16,Guaratinguetá,38,13,4,21,41,63,43,20
16,17,CRB,38,12,6,20,47,67,42,20
17,18,Guarani,38,10,11,17,36,47,41,20
18,19,Ipatinga,38,8,7,23,38,73,31,20
19,20,Grêmio Barueri,38,7,9,22,38,69,30,20
