,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Coritiba ,38,21,6,11,54,41,69,20
1,2,Ipatinga,38,20,7,11,60,41,67,20
2,3,Portuguesa ,38,17,12,9,63,46,63,20
3,4,Vitória ,38,18,5,15,68,50,59,20
4,5,Fortaleza ,38,17,5,16,51,46,56,20
5,6,Marília ,38,17,8,13,66,61,53,20
6,7,Criciúma ,38,15,8,15,51,44,53,20
7,8,CRB ,38,15,8,15,54,62,53,20
8,9,Brasiliense ,38,14,11,13,57,53,53,20
9,10,São Caetano ,38,13,14,11,45,39,53,20
10,11,Ponte Preta ,38,13,13,12,58,55,52,20
11,12,Gama ,38,14,9,15,53,56,51,20
12,13,Grêmio Barueri ,38,14,9,15,57,71,51,20
13,14,Santo André ,38,13,12,13,51,50,51,20
14,15,Avaí ,38,13,12,13,52,55,51,20
15,16,Ceará ,38,13,11,14,58,58,50,20
16,17,Paulista ,38,12,9,17,58,61,45,20
17,18,Santa Cruz ,38,10,12,16,47,65,42,20
18,19,Remo ,38,10,6,22,53,69,36,20
19,20,Ituano ,38,8,9,21,41,74,33,20
