,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Fortaleza,38,21,8,9,54,33,71,20
1,2,CSA,38,17,11,10,51,37,62,20
2,3,Avaí,38,16,13,9,50,32,61,20
3,4,Goiás,38,18,6,14,54,50,60,20
4,5,Ponte Preta,38,16,12,10,42,30,60,20
5,6,Atlético Goianiense,38,16,11,11,57,51,59,20
6,7,Vila Nova,38,14,15,9,41,36,57,20
7,8,Londrina,38,15,10,13,45,42,55,20
8,9,Guarani,38,14,12,12,44,39,54,20
9,10,Coritiba,38,13,13,12,40,44,52,20
10,11,GE Brasil,38,13,11,14,36,35,50,20
11,12,CRB,38,12,12,14,35,39,48,20
12,13,São Bento,38,11,14,13,41,41,47,20
13,14,Criciúma,38,11,14,13,45,49,47,20
14,15,Figueirense,38,11,13,14,48,51,46,20
15,16,Oeste,38,9,19,10,36,40,46,20
16,17,Paysandu,38,10,13,15,42,53,43,20
17,18,Sampaio Corrêa,38,10,8,20,32,47,38,20
18,19,Juventude,38,7,14,17,27,48,35,20
19,20,Boa Esporte,38,7,9,22,26,49,30,20
