,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Chesterfield,46.0,24.0,14.0,8.0,85.0,51.0,86.0,24
1,2,Bury,46.0,23.0,12.0,11.0,82.0,50.0,81.0,24
2,3,Wycombe Wanderers,46.0,22.0,14.0,10.0,69.0,50.0,80.0,24
3,4,Shrewsbury Town,46.0,22.0,13.0,11.0,72.0,49.0,79.0,24
4,5,Accrington Stanley,46.0,18.0,19.0,9.0,73.0,55.0,73.0,24
5,6,Torquay United,46.0,17.0,18.0,11.0,74.0,53.0,69.0,24
6,7,Stevenage,46.0,18.0,15.0,13.0,62.0,45.0,69.0,24
7,8,Gillingham,46.0,17.0,17.0,12.0,67.0,57.0,68.0,24
8,9,Rotherham,46.0,17.0,15.0,14.0,75.0,60.0,66.0,24
9,10,Crewe Alexandra,46.0,18.0,11.0,17.0,87.0,65.0,65.0,24
10,11,Port Vale,46.0,17.0,14.0,15.0,54.0,49.0,65.0,24
11,12,Oxford United,46.0,17.0,12.0,17.0,58.0,60.0,63.0,24
12,13,Southend United,46.0,16.0,13.0,17.0,62.0,56.0,61.0,24
13,14,Aldershot Town,46.0,14.0,19.0,13.0,54.0,54.0,61.0,24
14,15,Macclesfield Town,46.0,14.0,13.0,19.0,59.0,73.0,55.0,24
15,16,Hereford,46.0,12.0,17.0,17.0,50.0,66.0,53.0,24
16,17,Northampton Town,46.0,11.0,19.0,16.0,63.0,71.0,52.0,24
17,18,Cheltenham Town,46.0,13.0,13.0,20.0,56.0,77.0,52.0,24
18,19,Bradford City,46.0,15.0,7.0,24.0,43.0,68.0,52.0,24
19,20,Burton Albion,46.0,12.0,15.0,19.0,56.0,70.0,51.0,24
20,21,Morecambe,46.0,13.0,12.0,21.0,54.0,73.0,51.0,24
21,22,Barnet,46.0,12.0,12.0,22.0,58.0,77.0,48.0,24
22,23,Lincoln City,46.0,13.0,8.0,25.0,45.0,81.0,47.0,24
23,24,Stockport County,46.0,9.0,14.0,23.0,48.0,96.0,41.0,24
