,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Lincoln City,46.0,23.0,16.0,7.0,73.0,43.0,85.0,24
1,2,Bury,46.0,22.0,13.0,11.0,82.0,56.0,79.0,24
2,3,MK Dons,46.0,23.0,10.0,13.0,71.0,49.0,79.0,24
3,4,Mansfield Town,46.0,20.0,16.0,10.0,69.0,41.0,76.0,24
4,5,Forest Green Rovers,46.0,20.0,14.0,12.0,68.0,47.0,74.0,24
5,6,Tranmere Rovers,46.0,20.0,13.0,13.0,63.0,50.0,73.0,24
6,7,Newport County,46.0,20.0,11.0,15.0,59.0,59.0,71.0,24
7,8,Colchester,46.0,20.0,10.0,16.0,65.0,53.0,70.0,24
8,9,Exeter City,46.0,19.0,13.0,14.0,60.0,49.0,70.0,24
9,10,Stevenage,46.0,20.0,10.0,16.0,59.0,55.0,70.0,24
10,11,Carlisle United,46.0,20.0,8.0,18.0,67.0,62.0,68.0,24
11,12,Crewe Alexandra,46.0,19.0,8.0,19.0,60.0,59.0,65.0,24
12,13,Swindon Town,46.0,16.0,16.0,14.0,59.0,56.0,64.0,24
13,14,Oldham Athletic,46.0,16.0,14.0,16.0,67.0,60.0,62.0,24
14,15,Northampton Town,46.0,14.0,19.0,13.0,64.0,63.0,61.0,24
15,16,Cheltenham Town,46.0,15.0,12.0,19.0,57.0,68.0,57.0,24
16,17,Grimsby Town,46.0,16.0,8.0,22.0,45.0,56.0,56.0,24
17,18,Morecambe,46.0,14.0,12.0,20.0,54.0,70.0,54.0,24
18,19,Crawley Town,46.0,15.0,8.0,23.0,51.0,68.0,53.0,24
19,20,Port Vale,46.0,12.0,13.0,21.0,39.0,55.0,49.0,24
20,21,Cambridge United,46.0,12.0,11.0,23.0,40.0,66.0,47.0,24
21,22,Macclesfield Town,46.0,10.0,14.0,22.0,48.0,74.0,44.0,24
22,23,Notts County,46.0,9.0,14.0,23.0,48.0,84.0,41.0,24
23,24,Yeovil Town,46.0,9.0,13.0,24.0,41.0,66.0,40.0,24
