,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Portsmouth,46.0,26.0,9.0,11.0,79.0,40.0,87.0,24
1,2,Plymouth Argyle,46.0,26.0,9.0,11.0,71.0,46.0,87.0,24
2,3,Doncaster Rovers,46.0,25.0,10.0,11.0,85.0,55.0,85.0,24
3,4,Luton Town,46.0,20.0,17.0,9.0,70.0,43.0,77.0,24
4,5,Exeter City,46.0,21.0,8.0,17.0,75.0,56.0,71.0,24
5,6,Carlisle United,46.0,18.0,17.0,11.0,69.0,68.0,71.0,24
6,7,Blackpool,46.0,18.0,16.0,12.0,69.0,46.0,70.0,24
7,8,Colchester,46.0,19.0,12.0,15.0,67.0,57.0,69.0,24
8,9,Wycombe Wanderers,46.0,19.0,12.0,15.0,58.0,53.0,69.0,24
9,10,Stevenage,46.0,20.0,7.0,19.0,67.0,63.0,67.0,24
10,11,Cambridge United,46.0,19.0,9.0,18.0,58.0,50.0,66.0,24
11,12,Mansfield Town,46.0,17.0,15.0,14.0,54.0,50.0,66.0,24
12,13,Accrington Stanley,46.0,17.0,14.0,15.0,59.0,56.0,65.0,24
13,14,Grimsby Town,46.0,17.0,11.0,18.0,59.0,63.0,62.0,24
14,15,Barnet,46.0,14.0,15.0,17.0,57.0,64.0,57.0,24
15,16,Notts County,46.0,16.0,8.0,22.0,54.0,76.0,56.0,24
16,17,Crewe Alexandra,46.0,14.0,13.0,19.0,58.0,67.0,55.0,24
17,18,Morecambe,46.0,14.0,10.0,22.0,53.0,73.0,52.0,24
18,19,Crawley Town,46.0,13.0,12.0,21.0,53.0,71.0,51.0,24
19,20,Yeovil Town,46.0,11.0,17.0,18.0,49.0,64.0,50.0,24
20,21,Cheltenham Town,46.0,12.0,14.0,20.0,49.0,69.0,50.0,24
21,22,Newport County,46.0,12.0,12.0,22.0,51.0,73.0,48.0,24
22,23,Hartlepool United,46.0,11.0,13.0,22.0,54.0,75.0,46.0,24
23,24,Leyton Orient,46.0,10.0,6.0,30.0,47.0,87.0,36.0,24
