,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Northampton Town,46.0,29.0,12.0,5.0,82.0,46.0,99.0,24
1,2,Oxford United,46.0,24.0,14.0,8.0,84.0,41.0,86.0,24
2,3,Bristol Rovers,46.0,26.0,7.0,13.0,77.0,46.0,85.0,24
3,4,Accrington Stanley,46.0,24.0,13.0,9.0,74.0,48.0,85.0,24
4,5,Plymouth Argyle,46.0,24.0,9.0,13.0,72.0,46.0,81.0,24
5,6,Portsmouth,46.0,21.0,15.0,10.0,75.0,44.0,78.0,24
6,7,AFC Wimbledon,46.0,21.0,12.0,13.0,64.0,50.0,75.0,24
7,8,Leyton Orient,46.0,19.0,12.0,15.0,60.0,61.0,69.0,24
8,9,Cambridge United,46.0,18.0,14.0,14.0,66.0,55.0,68.0,24
9,10,Carlisle United,46.0,17.0,16.0,13.0,67.0,62.0,67.0,24
10,11,Luton Town,46.0,19.0,9.0,18.0,63.0,61.0,66.0,24
11,12,Mansfield Town,46.0,17.0,13.0,16.0,61.0,53.0,64.0,24
12,13,Wycombe Wanderers,46.0,17.0,13.0,16.0,45.0,44.0,64.0,24
13,14,Exeter City,46.0,17.0,13.0,16.0,63.0,65.0,64.0,24
14,15,Barnet,46.0,17.0,11.0,18.0,67.0,68.0,62.0,24
15,16,Hartlepool United,46.0,15.0,6.0,25.0,49.0,72.0,51.0,24
16,17,Notts County,46.0,14.0,9.0,23.0,54.0,83.0,51.0,24
17,18,Stevenage,46.0,11.0,15.0,20.0,52.0,67.0,48.0,24
18,19,Yeovil Town,46.0,11.0,15.0,20.0,43.0,59.0,48.0,24
19,20,Crawley Town,46.0,13.0,8.0,25.0,45.0,78.0,47.0,24
20,21,Morecambe,46.0,12.0,10.0,24.0,69.0,91.0,46.0,24
21,22,Newport County,46.0,10.0,13.0,23.0,43.0,64.0,43.0,24
22,23,Dag and Red,46.0,8.0,10.0,28.0,46.0,81.0,34.0,24
23,24,York City,46.0,7.0,13.0,26.0,51.0,87.0,34.0,24
