,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Internazionale,38,30,7,1,80,34,97,20
1,2,Roma ,38,22,9,7,74,34,75,20
2,3,Lazio ,38,18,11,9,59,33,62,20
3,4,Milan,38,19,12,7,57,36,61,20
4,5,Palermo ,38,16,10,12,58,51,58,20
5,6,Fiorentina ,38,21,10,7,62,31,58,20
6,7,Empoli ,38,14,12,12,42,43,54,20
7,8,Atalanta ,38,12,14,12,56,54,50,20
8,9,Sampdoria,38,13,10,15,44,48,49,20
9,10,Udinese ,38,12,10,16,49,55,46,20
10,11,Livorno ,38,10,13,15,41,54,43,20
11,12,Parma ,38,10,12,16,41,56,42,20
12,13,Catania ,38,10,11,17,46,68,41,20
13,14,Reggina ,38,12,15,11,52,50,40,20
14,15,AC Siena,38,9,14,15,35,45,40,20
15,16,Torino ,38,10,10,18,27,47,40,20
16,17,Cagliari ,38,9,13,16,35,46,40,20
17,18,Chievo ,38,9,12,17,38,48,39,20
18,19,Ascoli ,38,5,12,21,36,67,27,20
19,20,F.C. Messina Peloro ,38,5,11,22,37,69,26,20
