,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Internazionale,38,25,9,4,70,32,84,20
1,2,Juventus ,38,21,11,6,69,37,74,20
2,3,Milan,38,22,8,8,70,35,74,20
3,4,Fiorentina ,38,21,5,12,53,38,68,20
4,5,Genoa ,38,19,11,8,56,39,68,20
5,6,Roma ,38,18,9,11,64,61,63,20
6,7,Udinese ,38,16,10,12,61,50,58,20
7,8,Palermo ,38,17,6,15,57,50,57,20
8,9,Cagliari ,38,15,8,15,49,50,53,20
9,10,Lazio ,38,15,5,18,46,55,50,20
10,11,Atalanta ,38,13,8,17,45,48,47,20
11,12,Napoli ,38,12,10,16,43,45,46,20
12,13,Sampdoria,38,11,13,14,49,52,46,20
13,14,AC Siena,38,12,8,18,33,44,44,20
14,15,Catania ,38,12,7,19,41,51,43,20
15,16,Chievo ,38,8,14,16,35,49,38,20
16,17,Bologna ,38,9,10,19,43,62,37,20
17,18,Torino ,38,8,10,20,37,61,34,20
18,19,Reggina ,38,6,13,19,30,62,31,20
19,20,Lecce ,38,5,15,18,37,67,30,20
