,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Juventus,38,26,9,3,72,24,87,20
1,2,Roma,38,19,13,6,54,31,70,20
2,3,Lazio,38,21,6,11,71,38,69,20
3,4,Fiorentina,38,18,10,10,61,46,64,20
4,5,Napoli,38,18,9,11,70,54,63,20
5,6,Genoa,38,16,11,11,62,47,59,20
6,7,Sampdoria,38,13,17,8,48,42,56,20
7,8,Internazionale,38,14,13,11,59,48,55,20
8,9,Torino,38,14,12,12,48,45,54,20
9,10,Milan,38,13,13,12,56,50,52,20
10,11,Palermo,38,12,13,13,53,55,49,20
11,12,Sassuolo,38,12,13,13,49,57,49,20
12,13,Hellas Verona,38,11,13,14,49,65,46,20
13,14,Chievo,38,10,13,15,28,41,43,20
14,15,Empoli,38,8,18,12,46,52,42,20
15,16,Udinese,38,10,11,17,43,56,41,20
16,17,Atalanta,38,7,16,15,38,57,37,20
17,18,Cagliari,38,8,10,20,48,68,34,20
18,19,AC Cesena,38,4,12,22,36,73,24,20
19,20,Parma,38,6,8,24,33,75,19,20
