,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Milan,34,25,7,2,65,24,82,18
1,2,Roma ,34,21,8,5,68,19,71,18
2,3,Juventus ,34,21,6,7,67,42,69,18
3,4,Internazionale,34,17,8,9,59,37,59,18
4,5,Parma ,34,16,10,8,57,46,58,18
5,6,Lazio ,34,16,8,10,52,38,56,18
6,7,Udinese ,34,13,11,10,44,40,50,18
7,8,Sampdoria,34,11,13,10,40,42,46,18
8,9,Chievo ,34,11,11,12,36,37,44,18
9,10,Lecce ,34,11,8,15,43,56,41,18
10,11,Brescia ,34,9,13,12,52,57,40,18
11,12,Bologna ,34,10,9,15,45,53,39,18
12,13,Reggina ,34,6,16,12,29,45,34,18
13,14,AC Siena,34,8,10,16,41,54,34,18
14,15,Perugia ,34,6,14,14,44,56,32,18
15,16,Modena,34,6,12,16,27,46,30,18
16,17,Empoli ,34,7,9,18,26,54,30,18
17,18,Ancona,34,2,7,25,21,70,13,18
