,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Juventus,38,23,15,0,68,20,84,20
1,2,Milan,38,24,8,6,74,33,80,20
2,3,Udinese,38,18,10,10,52,35,64,20
3,4,Lazio,38,18,8,12,56,47,62,20
4,5,Napoli,38,16,13,9,66,46,61,20
5,6,Internazionale,38,17,7,14,58,55,58,20
6,7,Roma,38,16,8,14,60,54,56,20
7,8,Parma,38,15,11,12,54,53,56,20
8,9,Bologna,38,13,12,13,41,43,51,20
9,10,Chievo,38,12,13,13,35,45,49,20
10,11,Catania,38,11,15,12,47,52,48,20
11,12,Atalanta,38,13,13,12,41,43,46,20
12,13,Fiorentina,38,11,13,14,37,43,46,20
13,14,AC Siena,38,11,11,16,45,45,44,20
14,15,Cagliari,38,10,13,15,37,46,43,20
15,16,Palermo,38,11,10,17,52,62,43,20
16,17,Genoa,38,11,9,18,50,69,42,20
17,18,Lecce,38,8,12,18,40,56,36,20
18,19,Novara,38,7,11,20,35,65,32,20
19,20,AC Cesena,38,4,10,24,24,60,22,20
