,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Lens,38,20,8,10,47,35,68,20
1,2,Montpellier,38,19,9,10,61,36,66,20
2,3,US Boulogne,38,20,6,12,51,36,66,20
3,4,RC Strasbourg,38,18,11,9,57,45,65,20
4,5,Metz,38,17,12,9,48,35,63,20
5,6,Tours,38,17,10,11,50,41,61,20
6,7,Angers,38,13,14,11,46,42,53,20
7,8,Dijon,38,14,10,14,43,46,52,20
8,9,CS Sedan,38,13,12,13,46,49,51,20
9,10,Vannes OC,38,14,9,15,34,45,51,20
10,11,Bastia,38,13,9,16,38,47,48,20
11,12,Clermont,38,12,11,15,46,50,47,20
12,13,Guingamp,38,10,16,12,37,35,46,20
13,14,Brest,38,13,6,19,45,50,45,20
14,15,Châteauroux,38,11,11,16,40,46,44,20
15,16,AC Ajaccio,38,11,11,16,44,56,44,20
16,17,Nimes,38,11,11,16,32,46,44,20
17,18,Amiens SC,38,9,16,13,35,40,43,20
18,19,Troyes,38,9,11,18,39,48,38,20
19,20,Stade de Reims,38,7,15,16,40,51,36,20
