,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,AFC Bournemouth,46.0,26.0,12.0,8.0,98.0,45.0,90.0,24
1,2,Watford,46.0,27.0,8.0,11.0,91.0,50.0,89.0,24
2,3,Norwich City,46.0,25.0,11.0,10.0,88.0,48.0,86.0,24
3,4,Middlesbrough,46.0,25.0,10.0,11.0,68.0,37.0,85.0,24
4,5,Brentford,46.0,23.0,9.0,14.0,78.0,59.0,78.0,24
5,6,Ipswich Town,46.0,22.0,12.0,12.0,72.0,54.0,78.0,24
6,7,Wolverhampton,46.0,22.0,12.0,12.0,70.0,56.0,78.0,24
7,8,Derby County,46.0,21.0,14.0,11.0,85.0,56.0,77.0,24
8,9,Blackburn Rovers,46.0,17.0,16.0,13.0,66.0,59.0,67.0,24
9,10,Birmingham City,46.0,16.0,15.0,15.0,54.0,64.0,63.0,24
10,11,Cardiff City,46.0,16.0,14.0,16.0,57.0,61.0,62.0,24
11,12,Charlton Athletic,46.0,14.0,18.0,14.0,54.0,60.0,60.0,24
12,13,Sheffield Wed.,46.0,14.0,18.0,14.0,43.0,49.0,60.0,24
13,14,Nottingham Forest,46.0,15.0,14.0,17.0,71.0,69.0,59.0,24
14,15,Leeds United,46.0,15.0,11.0,20.0,50.0,61.0,56.0,24
15,16,Huddersfield Town,46.0,13.0,16.0,17.0,58.0,75.0,55.0,24
16,17,Fulham,46.0,14.0,10.0,22.0,62.0,83.0,52.0,24
17,18,Bolton Wanderers,46.0,13.0,12.0,21.0,54.0,67.0,51.0,24
18,19,Reading,46.0,13.0,11.0,22.0,48.0,69.0,50.0,24
19,20,Brighton & Hove Albion,46.0,10.0,17.0,19.0,44.0,54.0,47.0,24
20,21,Rotherham,46.0,11.0,16.0,19.0,46.0,67.0,46.0,24
21,22,Millwall,46.0,9.0,14.0,23.0,42.0,76.0,41.0,24
22,23,Wigan Athletic,46.0,9.0,12.0,25.0,39.0,64.0,39.0,24
23,24,Blackpool,46.0,4.0,14.0,28.0,36.0,91.0,26.0,24
