,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Norwich City,46.0,27.0,13.0,6.0,93.0,57.0,94.0,24
1,2,Sheffield United,46.0,26.0,11.0,9.0,78.0,41.0,89.0,24
2,3,Leeds United,46.0,25.0,8.0,13.0,73.0,50.0,83.0,24
3,4,West Bromwich,46.0,23.0,11.0,12.0,87.0,62.0,80.0,24
4,5,Aston Villa,46.0,20.0,16.0,10.0,82.0,61.0,76.0,24
5,6,Derby County,46.0,20.0,14.0,12.0,69.0,54.0,74.0,24
6,7,Middlesbrough,46.0,20.0,13.0,13.0,49.0,41.0,73.0,24
7,8,Bristol City,46.0,19.0,13.0,14.0,59.0,53.0,70.0,24
8,9,Nottingham Forest,46.0,17.0,15.0,14.0,61.0,54.0,66.0,24
9,10,Swansea City,46.0,18.0,11.0,17.0,65.0,62.0,65.0,24
10,11,Brentford,46.0,17.0,13.0,16.0,73.0,59.0,64.0,24
11,12,Sheffield Wed.,46.0,16.0,16.0,14.0,60.0,62.0,64.0,24
12,13,Hull City,46.0,17.0,11.0,18.0,66.0,68.0,62.0,24
13,14,Birmingham City,46.0,14.0,19.0,13.0,64.0,58.0,61.0,24
14,15,Preston North End,46.0,16.0,13.0,17.0,67.0,67.0,61.0,24
15,16,Blackburn Rovers,46.0,16.0,12.0,18.0,64.0,69.0,60.0,24
16,17,Stoke City,46.0,11.0,22.0,13.0,45.0,52.0,55.0,24
17,18,Wigan Athletic,46.0,13.0,13.0,20.0,51.0,64.0,52.0,24
18,19,QPR,46.0,14.0,9.0,23.0,53.0,71.0,51.0,24
19,20,Reading,46.0,10.0,17.0,19.0,49.0,66.0,47.0,24
20,21,Millwall,46.0,10.0,14.0,22.0,48.0,64.0,44.0,24
21,22,Rotherham,46.0,8.0,16.0,22.0,52.0,83.0,40.0,24
22,23,Bolton Wanderers,46.0,8.0,8.0,30.0,29.0,78.0,32.0,24
23,24,Ipswich Town,46.0,5.0,16.0,25.0,36.0,77.0,31.0,24
