,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Sunderland ,46.0,27.0,7.0,12.0,76.0,47.0,88.0,24
1,2,Birmingham City,46.0,26.0,8.0,12.0,67.0,42.0,86.0,24
2,3,Derby County ,46.0,25.0,9.0,12.0,62.0,46.0,84.0,24
3,4,West Bromwich ,46.0,22.0,10.0,14.0,81.0,55.0,76.0,24
4,5,Wolverhampton,46.0,22.0,10.0,14.0,59.0,56.0,76.0,24
5,6,Southampton ,46.0,21.0,12.0,13.0,77.0,53.0,75.0,24
6,7,Preston North End ,46.0,22.0,8.0,16.0,64.0,53.0,74.0,24
7,8,Stoke City ,46.0,19.0,16.0,11.0,62.0,41.0,73.0,24
8,9,Sheffield Wed.,46.0,20.0,11.0,15.0,70.0,66.0,71.0,24
9,10,Colchester ,46.0,20.0,9.0,17.0,70.0,56.0,69.0,24
10,11,Plymouth Argyle ,46.0,17.0,16.0,13.0,63.0,62.0,67.0,24
11,12,Crystal Palace ,46.0,18.0,11.0,17.0,59.0,51.0,65.0,24
12,13,Cardiff City,46.0,17.0,13.0,16.0,57.0,53.0,64.0,24
13,14,Ipswich Town ,46.0,18.0,8.0,20.0,64.0,59.0,62.0,24
14,15,Burnley ,46.0,15.0,12.0,19.0,52.0,49.0,57.0,24
15,16,Norwich City ,46.0,16.0,9.0,21.0,56.0,71.0,57.0,24
16,17,Coventry City ,46.0,16.0,8.0,22.0,47.0,62.0,56.0,24
17,18,QPR ,46.0,14.0,11.0,21.0,54.0,68.0,53.0,24
18,19,Leicester City,46.0,13.0,14.0,19.0,49.0,64.0,53.0,24
19,20,Barnsley ,46.0,15.0,5.0,26.0,53.0,85.0,50.0,24
20,21,Hull City ,46.0,13.0,10.0,23.0,51.0,67.0,49.0,24
21,22,Southend United,46.0,10.0,12.0,24.0,47.0,80.0,42.0,24
22,23,Luton Town,46.0,10.0,10.0,26.0,53.0,81.0,40.0,24
23,24,Leeds United ,46.0,13.0,7.0,26.0,46.0,72.0,36.0,24
