,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Brasiliense,6,4,0,2,8,5,12,36
1,2,Fortaleza,6,2,2,2,4,4,8,36
2,3,Avaí,6,2,2,2,4,5,8,36
3,4,Bahia,6,1,2,3,7,9,5,36
4,5,Fortaleza,6,4,2,0,11,5,8,36
5,6,Brasiliense,6,3,3,0,10,5,8,36
6,7,Ituano,6,3,2,1,9,4,8,36
7,8,Santa Cruz,6,3,1,2,17,10,7,36
8,9,Bahia,6,3,1,2,14,10,13,36
9,10,Avaí,6,3,1,2,10,6,10,36
10,11,Náutico,6,3,1,2,10,7,7,36
11,12,Marília,6,3,1,2,9,6,4,36
12,13,Brasiliense,6,3,1,2,8,7,14,36
13,14,Paulista,6,2,3,1,6,5,12,36
14,15,Santa Cruz,6,2,3,1,5,4,11,36
15,16,Náutico,6,1,5,0,9,8,10,36
16,17,Fortaleza,6,2,2,2,12,12,10,36
17,18,Vila Nova,6,2,1,3,8,8,10,36
18,19,Bahia,6,1,4,1,8,11,10,36
19,20,São Raimundo-AM,6,2,1,3,7,10,10,36
20,21,Ceará,6,2,0,4,5,8,10,36
21,22,Portuguesa,6,2,0,4,7,14,9,36
22,23,Ituano,6,1,2,3,9,10,9,36
23,24,Remo,6,1,2,3,5,9,8,36
24,25,Avaí,6,0,4,2,5,10,8,36
25,26,Caxias,6,0,3,3,3,14,7,36
26,27,Sport,6,0,2,4,4,9,7,36
27,28,América Mineiro,6,2,3,1,8,7,7,36
28,29,Anapolina,,,,,,,6,36
29,30,Joinville,,,,,,,6,36
30,31,Marília,,,,,,,5,36
31,32,América-RN,,,,,,,5,36
32,33,CRB,,,,,,,4,36
33,34,Londrina,,,,,,,3,36
34,35,Mogi Mirim,,,,,,,2,36
35,36,Santo André,,,,,,,-3,36
