,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Palmeiras,6,5,1,0,12,3,16,36
1,2,Botafogo,6,2,2,2,9,10,8,36
2,3,Sport,6,1,2,3,6,8,5,36
3,4,Marília,6,0,3,3,2,8,3,36
4,5,Palmeiras,6,4,1,1,10,5,15,36
5,6,Sport,6,3,2,1,11,4,8,36
6,7,Brasiliense,6,3,2,1,13,9,7,36
7,8,Santa Cruz,6,2,2,2,13,11,4,36
8,9,Marília,6,3,2,1,9,7,11,36
9,10,Botafogo,6,3,1,2,6,4,10,36
10,11,Náutico,6,3,1,2,9,8,7,36
11,12,Remo,6,2,3,1,12,6,5,36
12,13,Marília,6,2,3,1,6,6,13,36
13,14,Botafogo,6,3,0,3,10,11,11,36
14,15,Santa Cruz,6,3,2,1,11,9,11,36
15,16,América-RN,6,2,2,2,12,11,11,36
16,17,Sport,6,2,2,2,7,8,11,36
17,18,Avaí,6,2,2,2,9,11,10,36
18,19,Mogi Mirim,6,2,2,2,7,10,10,36
19,20,Palmeiras,6,2,2,2,7,10,9,36
20,21,Paulista,6,3,1,2,8,8,9,36
21,22,São Raimundo-AM,6,2,1,3,11,12,9,36
22,23,Náutico,6,2,1,3,4,8,8,36
23,24,Portuguesa,6,1,3,2,11,10,8,36
24,25,CRB,6,1,3,2,3,5,8,36
25,26,Remo,6,1,0,5,8,13,8,36
26,27,Caxias,6,1,2,3,9,11,8,36
27,28,Brasiliense,6,0,0,6,2,11,8,36
28,29,Anapolina,,,,,,,7,36
29,30,Londrina,,,,,,,7,36
30,31,Vila Nova,,,,,,,7,36
31,32,América Mineiro,,,,,,,6,36
32,33,Gama,,,,,,,6,36
33,34,Joinville,,,,,,,6,36
34,35,Ceará,,,,,,,5,36
35,36,União São João,,,,,,,0,36
