,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,WSG Tirol,30,19,8,3,59,26,65,16
1,2,SV Ried,30,18,9,3,61,21,63,16
2,3,Austria Lustenau,30,14,8,8,55,34,50,16
3,4,Kapfenberger SV,30,13,7,10,44,40,46,16
4,5,FC Blau-Weiss Linz,30,14,2,14,46,48,44,16
5,6,SC Wiener Neustadt,30,12,8,10,39,41,44,16
6,7,FC Juniors OÖ,30,13,3,14,52,55,42,16
7,8,Austria Klagenfurt,30,9,14,7,43,35,41,16
8,9,Wacker Innsbruck B,30,10,11,9,40,44,41,16
9,10,Floridsdorfer AC,30,11,8,11,35,41,41,16
10,11,SKU Amstetten,30,10,6,14,45,43,36,16
11,12,Liefering,30,10,5,15,50,54,35,16
12,13,Austria Wien B,30,9,7,14,46,62,34,16
13,14,SV Lafnitz,30,8,9,13,36,42,33,16
14,15,SV Horn,30,6,7,17,33,62,25,16
15,16,Vorwärts Steyr,30,5,6,19,32,68,21,16
