,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,29,3,2,94,23,90,18
1,2,Borussia Dortmund,34,22,5,7,80,38,71,18
2,3,Schalke 04,34,19,7,8,63,43,64,18
3,4,Bayer Leverkusen,34,19,4,11,60,41,61,18
4,5,Wolfsburg,34,18,6,10,63,50,60,18
5,6,Borussia M´gladbach,34,16,7,11,59,43,55,18
6,7,Mainz,34,16,5,13,52,54,53,18
7,8,FC Augsburg,34,15,7,12,47,47,52,18
8,9,TSG Hoffenheim,34,11,11,12,72,70,44,18
9,10,Hannover 96,34,12,6,16,46,59,42,18
10,11,Hertha BSC,34,11,8,15,40,48,41,18
11,12,Werder Bremen,34,10,9,15,42,66,39,18
12,13,Eintracht Frankfurt,34,9,9,16,40,57,36,18
13,14,SC Freiburg,34,9,9,16,43,61,36,18
14,15,Stuttgart,34,8,8,18,49,62,32,18
15,16,Hamburger SV,34,7,6,21,51,75,27,18
16,17,FC Nürnberg,34,5,11,18,37,70,26,18
17,18,Eintracht Braunschweig,34,6,7,21,29,60,25,18
