,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,25,4,5,80,18,79,18
1,2,Wolfsburg,34,20,9,5,72,38,69,18
2,3,Borussia M´gladbach,34,19,9,6,53,26,66,18
3,4,Bayer Leverkusen,34,17,10,7,62,37,61,18
4,5,FC Augsburg,34,15,4,15,43,43,49,18
5,6,Schalke 04,34,13,9,12,42,40,48,18
6,7,Borussia Dortmund,34,13,7,14,47,42,46,18
7,8,TSG Hoffenheim,34,12,8,14,49,55,44,18
8,9,Eintracht Frankfurt,34,11,10,13,56,62,43,18
9,10,Werder Bremen,34,11,10,13,50,65,43,18
10,11,Mainz,34,9,13,12,45,47,40,18
11,12,FC Köln,34,9,13,12,34,40,40,18
12,13,Hannover 96,34,9,10,15,40,56,37,18
13,14,Stuttgart,34,9,9,16,42,60,36,18
14,15,Hertha BSC,34,9,8,17,36,52,35,18
15,16,Hamburger SV,34,9,8,17,25,50,35,18
16,17,SC Freiburg,34,7,13,14,36,47,34,18
17,18,SC Paderborn 07,34,7,10,17,31,65,31,18
