,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Borussia Dortmund,34,23,6,5,67,22,75,18
1,2,Bayer Leverkusen,34,20,8,6,64,44,68,18
2,3,Bayern München,34,19,8,7,81,40,65,18
3,4,Hannover 96,34,19,3,12,49,45,60,18
4,5,Mainz,34,18,4,12,52,39,58,18
5,6,FC Nürnberg,34,13,8,13,47,45,47,18
6,7,Kaiserslautern,34,13,7,14,48,51,46,18
7,8,Hamburger SV,34,12,9,13,46,52,45,18
8,9,SC Freiburg,34,13,5,16,41,50,44,18
9,10,FC Köln,34,13,5,16,47,62,44,18
10,11,TSG Hoffenheim,34,11,10,13,50,50,43,18
11,12,Stuttgart,34,12,6,16,60,59,42,18
12,13,Werder Bremen,34,10,11,13,47,61,41,18
13,14,Schalke 04,34,11,7,16,38,44,40,18
14,15,Wolfsburg,34,9,11,14,43,48,38,18
15,16,Borussia M´gladbach,34,10,6,18,48,65,36,18
16,17,Eintracht Frankfurt,34,9,7,18,31,49,34,18
17,18,FC St. Pauli,34,8,5,21,35,68,29,18
