,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,24,6,4,88,32,78,18
1,2,Borussia Dortmund,34,23,7,4,81,44,76,18
2,3,RB Leipzig,34,19,9,6,63,29,66,18
3,4,Bayer Leverkusen,34,18,4,12,69,52,58,18
4,5,Borussia M´gladbach,34,16,7,11,55,42,55,18
5,6,Wolfsburg,34,16,7,11,62,50,55,18
6,7,Eintracht Frankfurt,34,15,9,10,60,48,54,18
7,8,Werder Bremen,34,14,11,9,58,49,53,18
8,9,TSG Hoffenheim,34,13,12,9,70,52,51,18
9,10,Fortuna Düsseldorf,34,13,5,16,49,65,44,18
10,11,Hertha BSC,34,11,10,13,49,57,43,18
11,12,Mainz,34,12,7,15,46,57,43,18
12,13,SC Freiburg,34,8,12,14,46,61,36,18
13,14,Schalke 04,34,8,9,17,37,55,33,18
14,15,FC Augsburg,34,8,8,18,51,71,32,18
15,16,Stuttgart,34,7,7,20,32,70,28,18
16,17,Hannover 96,34,5,6,23,31,71,21,18
17,18,FC Nürnberg,34,3,10,21,26,68,19,18
