,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Real Madrid,38,29,6,3,106,41,93,20
1,2,Barcelona,38,28,6,4,116,37,90,20
2,3,Atlético Madrid,38,23,9,6,70,27,78,20
3,4,Sevilla,38,21,9,8,69,49,72,20
4,5,Villarreal,38,19,10,9,56,33,67,20
5,6,Real Sociedad,38,19,7,12,59,53,64,20
6,7,Athletic,38,19,6,13,53,43,63,20
7,8,Espanyol,38,15,11,12,49,50,56,20
8,9,Alavés,38,14,13,11,41,43,55,20
9,10,Eibar,38,15,9,14,56,51,54,20
10,11,Málaga,38,12,10,16,49,55,46,20
11,12,Valencia,38,13,7,18,56,65,46,20
12,13,Celta de Vigo,38,13,6,19,53,69,45,20
13,14,Las Palmas,38,10,9,19,53,74,39,20
14,15,Real Betis,38,10,9,19,41,64,39,20
15,16,Deportivo,38,8,12,18,43,61,36,20
16,17,Leganés,38,8,11,19,36,55,35,20
17,18,Sporting Gijón,38,7,10,21,42,72,31,20
18,19,Osasuna,38,4,10,24,40,94,22,20
19,20,Granada,38,4,8,26,30,82,20,20
