,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Real Madrid ,38,22,12,4,86,42,78,20
1,2,Real Sociedad ,38,22,10,6,71,45,76,20
2,3,Deportivo ,38,22,6,10,67,47,72,20
3,4,Celta de Vigo ,38,17,10,11,45,36,61,20
4,5,Valencia ,38,17,9,12,56,35,60,20
5,6,Barcelona,38,15,11,12,63,47,56,20
6,7,Athletic ,38,15,10,13,63,61,55,20
7,8,Real Betis ,38,14,12,12,56,53,54,20
8,9,Mallorca ,38,14,10,14,49,56,52,20
9,10,Sevilla ,38,13,11,14,38,39,50,20
10,11,Atlético Madrid,38,12,11,15,51,56,47,20
11,12,Osasuna ,38,12,11,15,40,48,47,20
12,13,Valladolid ,38,12,10,16,37,40,46,20
13,14,Málaga ,38,11,13,14,44,49,46,20
14,15,Villarreal ,38,11,12,15,44,53,45,20
15,16,Racing Santander ,38,13,5,20,54,64,44,20
16,17,Espanyol ,38,10,13,15,48,54,43,20
17,18,Recreativo ,38,8,12,18,35,61,36,20
18,19,Alavés ,38,8,11,19,38,68,35,20
19,20,Rayo Vallecano ,38,7,11,20,31,62,32,20
