,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Paris SG,38,29,6,3,108,29,93,20
1,2,Monaco,38,24,8,6,85,45,80,20
2,3,Lyon,38,23,9,6,87,43,78,20
3,4,Marseille,38,22,11,5,80,47,77,20
4,5,Rennes,38,16,10,12,50,44,58,20
5,6,Bordeaux,38,16,7,15,53,48,55,20
6,7,Saint-Étienne,38,15,10,13,47,50,55,20
7,8,Nice,38,15,9,14,53,52,54,20
8,9,Nantes,38,14,10,14,36,41,52,20
9,10,Montpellier,38,11,18,9,36,33,51,20
10,11,Dijon,38,13,9,16,55,73,48,20
11,12,Guingamp,38,12,11,15,48,59,47,20
12,13,Amiens SC,38,12,9,17,37,42,45,20
13,14,Angers,38,9,14,15,42,52,41,20
14,15,Strasbourg,38,9,11,18,44,67,38,20
15,16,Caen,38,10,8,20,27,52,38,20
16,17,Lille,38,10,8,20,41,67,38,20
17,18,Toulouse,38,9,10,19,38,54,37,20
18,19,Troyes,38,9,6,23,32,59,33,20
19,20,Metz,38,6,8,24,34,76,26,20
