,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Troyes,38.0,24.0,9.0,5.0,60.0,23.0,81.0,24
1,2,Lens,38.0,21.0,11.0,6.0,64.0,35.0,74.0,24
2,3,Paris FC,38.0,21.0,8.0,9.0,51.0,28.0,71.0,24
3,4,Lens,38.0,17.0,14.0,7.0,36.0,22.0,65.0,24
4,5,Metz,38.0,17.0,12.0,9.0,51.0,41.0,63.0,24
5,6,Brest,38.0,18.0,9.0,11.0,49.0,28.0,63.0,24
6,7,Troyes,38.0,13.0,15.0,10.0,45.0,40.0,54.0,24
7,8,Paris FC,38.0,15.0,7.0,16.0,51.0,53.0,52.0,24
8,9,Lorient,38.0,13.0,11.0,14.0,43.0,47.0,50.0,24
9,10,Lens,38.0,11.0,15.0,12.0,37.0,42.0,48.0,24
10,11,Le Havre,38.0,11.0,15.0,12.0,44.0,37.0,48.0,24
11,12,US Orléans,38.0,11.0,14.0,13.0,34.0,41.0,47.0,24
12,13,Grenoble,38.0,11.0,10.0,17.0,52.0,61.0,43.0,24
13,14,Châteauroux,38.0,12.0,6.0,20.0,36.0,50.0,42.0,24
14,15,Clermont,38.0,10.0,11.0,17.0,34.0,36.0,41.0,24
15,16,Chamois Niortais,38.0,11.0,8.0,19.0,27.0,43.0,41.0,24
16,17,Valenciennes,38.0,9.0,13.0,16.0,29.0,45.0,40.0,24
17,18,Nancy,38.0,9.0,12.0,17.0,30.0,54.0,39.0,24
18,19,Auxerre,38.0,9.0,11.0,18.0,33.0,50.0,38.0,24
19,20,Sochaux,38.0,7.0,9.0,22.0,28.0,58.0,30.0,24
20,21,AC Ajaccio,,,,,,,,24
21,22,GFC Ajaccio,,,,,,,,24
22,23,Avenir Béziers,,,,,,,,24
23,24,Red Star,,,,,,,,24
