,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Belenenses,42,30,6,6,77,40,96,22
1,2,FC Arouca,42,21,10,11,65,48,73,22
2,3,Leixões,42,18,14,10,49,36,68,22
3,4,Sporting B,42,17,15,10,62,46,66,22
4,5,CD Aves,42,16,17,9,47,42,65,22
5,6,Portimonense,42,17,13,12,61,50,64,22
6,7,Benfica B,42,15,17,10,71,54,62,22
7,8,UD Oliveirense,42,16,12,14,52,49,60,22
8,9,FC Penafiel,42,16,12,14,48,44,60,22
9,10,CD Tondela,42,16,11,15,55,60,59,22
10,11,Santa Clara,42,15,14,13,55,48,59,22
11,12,União Madeira,42,13,17,12,47,46,56,22
12,13,Feirense,42,15,11,16,60,59,56,22
13,14,FC Porto B,42,13,15,14,49,49,54,22
14,15,Braga B,42,12,13,17,39,51,47,22
15,16,Marítimo B,42,14,6,22,39,48,46,22
16,17,Atlético CP,42,12,8,22,45,63,44,22
17,18,Naval,42,13,18,11,51,50,40,22
18,19,Trofense,42,9,13,20,41,60,40,22
19,20,SC Covilhã,42,7,17,18,37,52,38,22
20,21,Vitória SC B,42,7,15,20,30,56,36,22
21,22,Freamunde,42,7,12,23,46,75,33,22
