,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Porto B,46,26,8,12,84,52,86,24
1,2,GD Chaves,46,21,18,7,60,39,81,24
2,3,Feirense,46,21,15,10,55,38,78,24
3,4,Portimonense,46,20,18,8,57,45,78,24
4,5,Freamunde,46,20,14,12,52,36,74,24
5,6,FC Famalicão,46,18,18,10,64,51,72,24
6,7,Olhanense,46,19,12,15,42,39,69,24
7,8,CD Aves,46,19,10,17,58,48,67,24
8,9,Varzim,46,17,14,15,51,48,65,24
9,10,Sporting B,46,18,11,17,61,59,65,24
10,11,Gil Vicente,46,16,14,16,58,56,62,24
11,12,FC Penafiel,46,13,22,11,49,46,61,24
12,13,Vitória SC B,46,16,12,18,60,67,60,24
13,14,SC Covilhã,46,13,19,14,45,48,58,24
14,15,SC Braga B,46,15,12,19,47,54,57,24
15,16,Santa Clara,46,15,12,19,49,52,57,24
16,17,Académico de Viseu,46,13,17,16,46,60,56,24
17,18,Leixões,46,14,13,19,45,56,55,24
18,19,Benfica B,46,15,10,21,59,64,55,24
19,20,Farense,46,15,11,20,49,56,54,24
20,21,CD Mafra,46,12,18,16,37,40,54,24
21,22,Atlético CP,46,12,15,19,49,56,51,24
22,23,Oriental,46,9,14,23,47,67,41,24
23,24,UD Oliveirense,46,6,11,29,42,89,29,24
