,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Rio Ave,34,19,6,9,49,36,63,18
1,2,FC Alverca,34,16,12,6,47,24,60,18
2,3,Est. Amadora,34,15,12,7,42,32,57,18
3,4,Naval,34,13,16,5,40,25,55,18
4,5,Portimonense,34,14,9,11,50,40,51,18
5,6,GD Chaves,34,12,11,11,44,41,47,18
6,7,CD Aves,34,13,8,13,41,38,47,18
7,8,Ovarense,34,13,7,14,49,48,46,18
8,9,Maia,34,12,10,12,51,51,46,18
9,10,SC Salgueiros,34,12,10,12,39,47,46,18
10,11,SC Covilhã,34,11,12,11,37,33,45,18
11,12,Farense,34,11,11,12,32,32,44,18
12,13,FC Marco,34,11,10,13,46,49,43,18
13,14,FC Penafiel,34,12,5,17,38,40,41,18
14,15,União Madeira,34,10,10,14,31,38,40,18
15,16,Leça FC,34,8,15,11,35,42,39,18
16,17,FC Felgueiras,34,10,9,15,34,50,39,18
17,18,U. Lamas,34,4,7,23,21,60,19,18
