,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Moreirense,42,21,16,5,65,25,79,22
1,2,FC Porto B,42,23,8,11,59,42,77,22
2,3,FC Penafiel,42,18,19,5,47,24,73,22
3,4,CD Aves,42,20,11,11,46,35,71,22
4,5,Benfica B,42,20,10,12,77,56,70,22
5,6,Sporting B,42,20,10,12,61,50,70,22
6,7,Portimonense,42,19,10,13,58,48,67,22
7,8,GD Chaves,42,19,10,13,58,56,67,22
8,9,CD Tondela,42,16,11,15,41,38,59,22
9,10,Farense,42,15,12,15,45,44,57,22
10,11,Académico de Viseu,42,16,6,20,43,43,54,22
11,12,Beira-Mar,42,14,12,16,45,48,54,22
12,13,União Madeira,42,14,10,18,50,46,52,22
13,14,Feirense,42,10,20,12,41,46,50,22
14,15,Santa Clara,42,13,9,20,38,46,48,22
15,16,SC Covilhã,42,13,9,20,34,50,48,22
16,17,Leixões,42,13,8,21,42,57,47,22
17,18,Trofense,42,11,14,17,36,61,47,22
18,19,UD Oliveirense,42,13,8,21,56,76,47,22
19,20,Braga B,42,12,8,22,47,60,44,22
20,21,Marítimo B,42,11,10,21,39,57,43,22
21,22,Atlético CP,42,9,13,20,34,54,40,22
