,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Porto,30,24,6,0,70,14,78,16
1,2,Benfica,30,24,5,1,77,20,77,16
2,3,Paços de Ferreira,30,14,12,4,42,29,54,16
3,4,SC Braga,30,16,4,10,60,44,52,16
4,5,Estoril Praia,30,13,6,11,47,37,45,16
5,6,Rio Ave,30,12,6,12,35,42,42,16
6,7,Sporting,30,11,9,10,36,36,42,16
7,8,Nacional,30,11,7,12,45,51,40,16
8,9,Vitória SC,30,11,7,12,36,47,40,16
9,10,Marítimo,30,9,11,10,34,45,38,16
10,11,Académica OAF,30,6,10,14,33,45,28,16
11,12,Vitória FC,30,7,5,18,30,55,26,16
12,13,Gil Vicente,30,6,7,17,31,54,25,16
13,14,Olhanense,30,5,10,15,26,42,25,16
14,15,Moreirense,30,5,9,16,30,51,24,16
15,16,Beira-Mar,30,5,8,17,35,55,23,16
